experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,best_epoch,epochs_run,best_val_loss,final_train_loss,prediction_log_lower,prediction_log_upper
sandia_to_sandia,within_split,sandia,sandia,numpy_1d_cnn,100,1011,34,8,8,517.39442271545,55.1181747728672,-0.02962249101576586,253,333,0.03365409927619198,0.023369231074022924,3.8918202981106265,8.143807976771484
luh_to_luh,within_split,luh,luh,numpy_1d_cnn,100,1011,74,16,16,81.73434398476796,11.651363865506005,0.8252523696694983,285,365,0.014243417369791407,0.022702429540298077,4.0943445622221,7.387090235656757
matr_to_hust,naive_cross,matr,hust,numpy_1d_cnn,100,1011,89,20,77,877.5370113308195,78.21455710857926,-11.346562585409387,23,103,0.21772070017584907,0.40055241506139877,5.5093883366279774,7.633369649679584
matr_to_sandia,naive_cross,matr,sandia,numpy_1d_cnn,100,1011,89,20,50,1405.2753863608004,121.78200410412208,-1.0059186847362613,23,103,0.21772070017584907,0.40055241506139877,5.5093883366279774,7.633369649679584
matr_to_luh,naive_cross,matr,luh,numpy_1d_cnn,100,1011,89,20,106,1404.047169811321,117.64764295850252,-12.393818118777055,23,103,0.21772070017584907,0.40055241506139877,5.5093883366279774,7.633369649679584
hust_to_matr,naive_cross,hust,matr,numpy_1d_cnn,100,1011,53,12,129,729.0359763439367,69.82764360165214,-3.7244779403432897,6,86,0.8023755344075065,1.0159907559239674,6.836259277277067,7.6128310304073565
hust_to_sandia,naive_cross,hust,sandia,numpy_1d_cnn,100,1011,53,12,50,1437.847160219143,133.34057661260303,-0.8445702093194107,6,86,0.8023755344075065,1.0159907559239674,6.836259277277067,7.6128310304073565
hust_to_luh,naive_cross,hust,luh,numpy_1d_cnn,100,1011,53,12,106,1207.6757345575393,110.10829653065248,-9.56021012428123,6,86,0.8023755344075065,1.0159907559239674,6.836259277277067,7.6128310304073565
sandia_to_matr,naive_cross,sandia,matr,numpy_1d_cnn,100,1011,34,8,129,2552.295496879356,126.20480423846108,-51.05683426351122,253,333,0.03365409927619198,0.023369231074022924,3.8918202981106265,8.143807976771484
sandia_to_hust,naive_cross,sandia,hust,numpy_1d_cnn,100,1011,34,8,77,1919.0881846720729,79.10803601393927,-49.25767901641901,253,333,0.03365409927619198,0.023369231074022924,3.8918202981106265,8.143807976771484
sandia_to_luh,naive_cross,sandia,luh,numpy_1d_cnn,100,1011,34,8,106,238.39700055983235,42.87634864753262,0.2632283833730358,253,333,0.03365409927619198,0.023369231074022924,3.8918202981106265,8.143807976771484
luh_to_matr,naive_cross,luh,matr,numpy_1d_cnn,100,1011,74,16,129,785.457019481318,75.77755044169811,-4.648659885604277,285,365,0.014243417369791407,0.022702429540298077,4.0943445622221,7.387090235656757
luh_to_hust,naive_cross,luh,hust,numpy_1d_cnn,100,1011,74,16,77,252.8466572539502,18.340191519841305,-0.3955093304102695,285,365,0.014243417369791407,0.022702429540298077,4.0943445622221,7.387090235656757
luh_to_sandia,naive_cross,luh,sandia,numpy_1d_cnn,100,1011,74,16,50,489.16272302711855,76.18023885478989,0.32274812543176445,285,365,0.014243417369791407,0.022702429540298077,4.0943445622221,7.387090235656757
