experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,y_mean_log,y_std_log,log_lower,log_upper,best_filters,best_learning_rate,best_epoch,epochs_run,best_val_loss,final_train_loss
hust_to_hust,within_split,hust,hust,pytorch_1d_cnn,100,1011,53,12,12,271.6691827721038,19.018459754529644,-0.3244974666101208,7.291066646575928,0.1885673850774765,6.836259365081787,7.612831115722656,16,0.01,19,79,0.7851438522338867,0.37437403202056885
hust_to_hust,within_split,hust,hust,pytorch_1d_cnn,100,123,53,12,12,238.16162546914532,15.973891217323203,-0.18745972858054372,7.280747890472412,0.19897635281085968,6.72022008895874,7.612831115722656,32,0.01,35,95,0.6329073905944824,0.2555080056190491
hust_to_hust,within_split,hust,hust,pytorch_1d_cnn,100,42,53,12,12,238.1605939795493,16.61930762178102,-0.12564258595408262,7.299964904785156,0.18443509936332703,6.967909336090088,7.612831115722656,8,0.01,11,71,1.3238972425460815,0.7365113496780396
hust_to_hust,within_split,hust,hust,pytorch_1d_cnn,100,456,53,12,12,258.296688025769,16.89930813802298,-0.22884486707797214,7.2845354080200195,0.19942925870418549,6.72022008895874,7.612831115722656,32,0.003,7,67,0.6022362112998962,0.8564230799674988
hust_to_hust,within_split,hust,hust,pytorch_1d_cnn,100,789,53,12,12,228.20184607146007,16.069982408145442,-0.005549081548721135,7.282606601715088,0.19414253532886505,6.72022008895874,7.612831115722656,8,0.01,1,61,0.799713134765625,0.9698051810264587
luh_to_luh,within_split,luh,luh,pytorch_1d_cnn,100,1011,74,16,16,120.4088905106264,20.28695442550522,0.707340641646224,6.0122599601745605,0.8932117819786072,4.094344615936279,7.38709020614624,32,0.01,65,125,0.045805007219314575,0.07005387544631958
luh_to_luh,within_split,luh,luh,pytorch_1d_cnn,100,123,74,16,16,121.46640611779719,22.601083441280412,0.7282573841699387,5.986907005310059,0.9334043264389038,4.094344615936279,7.38709020614624,32,0.003,117,177,0.020940396934747696,0.0627560019493103
luh_to_luh,within_split,luh,luh,pytorch_1d_cnn,100,42,74,16,16,101.43228079633741,15.222018384982029,0.7962537281089399,6.007865905761719,0.9053627848625183,4.127134323120117,7.38709020614624,8,0.01,11,71,0.09430023282766342,0.16118484735488892
luh_to_luh,within_split,luh,luh,pytorch_1d_cnn,100,456,74,16,16,123.55537990260481,18.105205356894675,0.8180495596497732,5.982973098754883,0.909216582775116,4.094344615936279,7.38709020614624,32,0.01,167,227,0.033145517110824585,0.04063117876648903
luh_to_luh,within_split,luh,luh,pytorch_1d_cnn,100,789,74,16,16,121.12766421415401,17.96112954602247,0.7550679305512342,6.005956172943115,0.9016876220703125,4.127134323120117,7.38709020614624,32,0.01,373,400,0.04714612662792206,0.020293103531003
matr_to_matr,within_split,matr,matr,pytorch_1d_cnn,100,1011,89,20,20,164.92308137539277,23.231119627436687,0.5056781521208054,6.573174953460693,0.43848228454589844,5.509388446807861,7.633369445800781,32,0.01,67,127,0.19552399218082428,0.3154819905757904
matr_to_matr,within_split,matr,matr,pytorch_1d_cnn,100,123,89,20,20,193.2069364140829,22.073079664849875,0.3663468390394544,6.538547992706299,0.4620335102081299,4.8903489112854,7.633369445800781,32,0.003,210,270,0.42837968468666077,0.1724379062652588
matr_to_matr,within_split,matr,matr,pytorch_1d_cnn,100,42,89,20,20,208.9278636477383,28.294155243730057,0.29360126985795687,6.567969799041748,0.44667568802833557,5.509388446807861,7.633369445800781,8,0.01,384,400,0.35167813301086426,0.20261040329933167
matr_to_matr,within_split,matr,matr,pytorch_1d_cnn,100,456,89,20,20,255.81857720886222,29.41498189991565,-0.1828118547762696,6.5606160163879395,0.4517723619937897,5.509388446807861,7.633369445800781,16,0.01,358,400,0.16238541901111603,0.11677830666303635
matr_to_matr,within_split,matr,matr,pytorch_1d_cnn,100,789,89,20,20,158.72730246426437,22.081617924209542,0.540012331105165,6.570230007171631,0.447017639875412,5.521461009979248,7.633369445800781,16,0.01,125,185,0.5617831349372864,0.21695782244205475
sandia_to_sandia,within_split,sandia,sandia,pytorch_1d_cnn,100,1011,34,8,8,264.3328877800546,24.234111097284668,0.7770847874553706,5.89173698425293,1.1798990964889526,3.891820192337036,8.143808364868164,16,0.01,37,97,0.02475014328956604,0.058785147964954376
sandia_to_sandia,within_split,sandia,sandia,pytorch_1d_cnn,100,123,34,8,8,208.9909505544644,30.826575931539818,0.8098690091874486,5.980201721191406,1.1425416469573975,4.499809741973877,8.123854637145996,16,0.01,130,190,0.056916601955890656,0.06204124167561531
sandia_to_sandia,within_split,sandia,sandia,pytorch_1d_cnn,100,42,34,8,8,153.42988385980695,16.410271092936686,0.9316720056959059,5.886687278747559,1.1171966791152954,3.891820192337036,8.143808364868164,16,0.01,69,129,0.0653170719742775,0.05496533587574959
sandia_to_sandia,within_split,sandia,sandia,pytorch_1d_cnn,100,456,34,8,8,131.17390572238327,26.48081555028711,0.9010317863411555,5.952302932739258,1.1849329471588135,3.891820192337036,8.143808364868164,32,0.01,108,168,0.02951173298060894,0.07834501564502716
sandia_to_sandia,within_split,sandia,sandia,pytorch_1d_cnn,100,789,34,8,8,65.32118956903383,21.6241934304083,0.9847057260869119,5.912139415740967,1.1042518615722656,3.891820192337036,8.123854637145996,8,0.01,53,113,0.09760253876447678,0.0679091066122055
