dataset,cell_id,status,q0,retirement_cycle,retirement_throughput,available_future_throughput,soh_t0,recent_slope,early_slope,slope_change,curvature,history_mad,max_drop,linearity_r2,slope_ratio,history_range,future_temp,future_charge_rate,future_discharge_rate,future_soc_min,future_soc_max,chemistry,future_protocol,duty_stratum,local_noise,future_soh,target_g,target_horizon,target_instability,baseline_score,model_score
luh,luh_P041_1_S11_C08,eligible_primary,2.927791698945236,373.0,329.3036121160525,735.4306977671846,0.8148401554814468,-0.00021425294999705193,-0.00046184160029247035,0.0002475886502954184,4.4475710175312055e-06,0.00731044644873613,0.002492556633648557,0.9638178396124021,-0.4639100285928595,0.03277512197891752,25.0,0.33,0.33,,,NMC,T25_C0.33_D0.33_Snan-nan,T25_C0.33_D0.33_Snan-nan,1.646016656309257e-16,0.8063349561422268,0.00017010398678440008,50.0,2.3302721366686764e-05,6.543580981973411e-05,0.00021335187566957615
luh,luh_P041_2_S13_C07,eligible_primary,2.913801554705951,304.0,271.3855716922311,560.1883491916541,0.8146978452331655,-0.0005290250897808196,-0.0007449527234207597,0.00021592763363994009,3.923086367268776e-06,0.01554049282927722,0.004078054661587727,0.9917044982122364,-0.7101458564398305,0.06232372321611035,25.0,0.33,0.33,,,NMC,T25_C0.33_D0.33_Snan-nan,T25_C0.33_D0.33_Snan-nan,3.292033312618514e-16,0.8019577841976177,0.0002548012207109562,50.0,3.686736886046004e-05,0.0004462298469171327,0.00033620650065627856
luh,luh_P041_3_S14_C07,eligible_primary,2.9244011625383486,377.0,332.7908588144246,695.722526834966,0.8149750297742963,-0.00021508263244528325,-0.0004448463139978286,0.00022976368155254535,4.16789215685134e-06,0.006891685986987084,0.0024406749657025495,0.9646388382301875,-0.483498740300528,0.03168972793477509,25.0,0.33,0.33,,,NMC,T25_C0.33_D0.33_Snan-nan,T25_C0.33_D0.33_Snan-nan,3.292033312618514e-16,0.8068047457473971,0.00016340568053798242,50.0,2.0674409498606627e-05,0.000141953644880526,0.00026395784411418593
luh,luh_P042_1_S11_C06,eligible_primary,2.9179630073750555,269.0,238.70575254136898,1277.1621619556502,0.8148076052065193,-0.00036667388664145793,-0.00075942278661542,0.00039274889997396205,7.279631985339585e-06,0.015589349965612287,0.0041134342710540395,0.9712217596279005,-0.48283234728265484,0.059062654855755126,25.0,0.33,1.0,,,NMC,T25_C0.33_D1_Snan-nan,T25_C0.33_D1_Snan-nan,3.292033312618514e-16,0.8001951037639665,0.0002922500288510554,50.0,4.282650421970417e-05,0.0003470538958974473,0.0002702072056672518
luh,luh_P042_2_S13_C05,eligible_primary,2.9165956349846702,299.0,265.90144981699837,580.6165030168975,0.8149685705617237,-0.0004105962016242532,-0.0006838175041393369,0.0002732213025150837,4.915817193100025e-06,0.012898489651416767,0.003713258890060911,0.9828754394899488,-0.6004470478436141,0.053355149616245545,25.0,0.33,1.0,,,NMC,T25_C0.33_D1_Snan-nan,T25_C0.33_D1_Snan-nan,3.292033312618514e-16,0.7990700249858043,0.0003179709115183882,50.0,4.692278931764487e-05,0.00045480433839361484,0.00032405914047724
luh,luh_P042_3_S14_C05,eligible_primary,2.925650170269309,324.0,285.3475135759553,883.9860290939899,0.8148201903145749,-0.00028652225726472666,-0.0004176098129286783,0.00013108755566395165,2.7207642350670535e-06,0.007465145965711351,0.0035278066981140332,0.9785341808034009,-0.6861003941822136,0.03552870075966541,25.0,0.33,1.0,,,NMC,T25_C0.33_D1_Snan-nan,T25_C0.33_D1_Snan-nan,1.646016656309257e-16,0.8058140830653077,0.00018012214498534408,50.0,4.941895761323628e-05,0.00027481847468361373,0.00025830834710560463
luh,luh_P043_1_S11_C04,eligible_primary,2.9241690654106955,249.0,219.91934544496527,205.94720111015633,0.8149162612250016,-0.0003345302968347951,-0.000807728819858938,0.00047319852302414285,8.549420734719312e-06,0.014773742659740241,0.004360398365509388,0.9624973877044831,-0.41416164510908204,0.05975639783521902,25.0,1.0,1.0,,,NMC,T25_C1_D1_Snan-nan,T25_C1_D1_Snan-nan,3.292033312618514e-16,0.7992277080448286,0.00031377106360346073,50.0,3.1976286367968774e-05,0.0004500531353133064,0.0003386808152797241
luh,luh_P043_2_S12_C04,eligible_primary,2.9145007782321213,233.0,206.46637130507102,212.7647079409961,0.8148478090748622,-0.0005166471942095415,-0.0008238508452024864,0.0003072036509929449,6.010802449805723e-06,0.02032045947027772,0.004520912142403466,0.9833312679501447,-0.6271125376858231,0.06876877673531523,25.0,1.0,1.0,,,NMC,T25_C1_D1_Snan-nan,T25_C1_D1_Snan-nan,3.292033312618514e-16,0.7987963801593287,0.0003210285783106692,50.0,6.7958997597354805e-06,0.0006684624704419871,0.0003821044647864291
luh,luh_P043_3_S14_C03,eligible_primary,2.9211281382092724,234.0,206.73214069394953,232.62398620381651,0.814803219291555,-0.0004745121423222982,-0.0007901139868479484,0.00031560184452565014,6.189042346550433e-06,0.019427800483379443,0.0043287294933844755,0.9804187205379962,-0.6005616280953328,0.06495053872404155,25.0,1.0,1.0,,,NMC,T25_C1_D1_Snan-nan,T25_C1_D1_Snan-nan,3.292033312618514e-16,0.8015825735840708,0.00026441291414968314,50.0,6.511399884563038e-06,0.0006262933378646835,0.0003697904879983118
luh,luh_P046_1_S12_C06,eligible_primary,2.9506479654058344,1849.0,1609.069236916096,317.2460871686869,0.8149451497326317,-6.652241956376506e-05,-5.84862143712172e-05,-8.036205192547865e-06,-1.6951186509241776e-07,0.0015417193582558109,0.0004628803486802502,0.9973572519898665,-1.137403408289368,0.006307023972699222,25.0,0.33,1.0,,,NMC,T25_C0.33_D1_Snan-nan,T25_C0.33_D1_Snan-nan,1.646016656309257e-16,0.8105345912981825,8.821116868898304e-05,50.0,3.713662163334396e-05,5.393989737006012e-05,0.00014356068761950467
luh,luh_P046_2_S13_C06,eligible_primary,2.943209039348141,1639.0,1424.3455868382,479.16427708036576,0.8149399207387662,-4.5128983276787404e-05,-3.43057981319015e-05,-1.0823185144885901e-05,-2.288445852840958e-07,0.0009036823166351238,0.0003935511234696154,0.987149821680128,-1.3154914251891796,0.004050746521810145,25.0,0.33,1.0,,,NMC,T25_C0.33_D1_Snan-nan,T25_C0.33_D1_Snan-nan,1.646016656309257e-16,0.811191654625553,7.496532226426433e-05,50.0,1.7961333234904523e-06,2.637274367597161e-05,0.0001456580493191365
luh,luh_P046_3_S14_C06,eligible_primary,2.928354083346445,1740.0,1515.4949905892772,389.67729407139655,0.814939633449748,-9.381586221597088e-05,-8.775787195643793e-05,-6.057990259532956e-06,-1.2890546212590545e-07,0.0023373782573684054,0.0005761249903487586,0.9994134281779655,-1.0690307333630433,0.009084935323266041,25.0,0.33,1.0,,,NMC,T25_C0.33_D1_Snan-nan,T25_C0.33_D1_Snan-nan,1.646016656309257e-16,0.8094459762126254,0.00010987314474245169,50.0,7.07947959399229e-05,7.235712492938763e-05,0.00012421762123025854
