dataset,cell_id,seed,model,observed,predicted
luh,luh_P038_3_S10_C03,2024,baseline,0.00017504211898023315,0.00013304504366784206
luh,luh_P039_1_S05_C10,2024,baseline,0.0014172114104195012,0.0004994731024440353
luh,luh_P039_2_S06_C05,2024,baseline,0.0011253475854425244,0.0016870772662858418
luh,luh_P039_3_S07_C05,2024,baseline,0.0018272500742690222,0.0009828997408148732
luh,luh_P041_1_S11_C08,2024,baseline,0.00017010398678440008,8.231446273470927e-05
luh,luh_P041_2_S13_C07,2024,baseline,0.0002548012207109562,0.0004745130575438965
luh,luh_P041_3_S14_C07,2024,baseline,0.00016340568053798242,0.00012228836122449413
luh,luh_P042_1_S11_C06,2024,baseline,0.0002922500288510554,0.0003506852168319875
luh,luh_P042_2_S13_C05,2024,baseline,0.0003179709115183882,0.00041659990506755955
luh,luh_P042_3_S14_C05,2024,baseline,0.00018012214498534408,0.0002823042188869844
luh,luh_P043_1_S11_C04,2024,baseline,0.00031377106360346073,0.0004786235954952994
luh,luh_P043_2_S12_C04,2024,baseline,0.0003210285783106692,0.0006426984485775303
luh,luh_P043_3_S14_C03,2024,baseline,0.00026441291414968314,0.0005889794723198458
luh,luh_P046_1_S12_C06,2024,baseline,8.821116868898304e-05,6.649110051968677e-05
luh,luh_P046_2_S13_C06,2024,baseline,7.496532226426433e-05,1.750841722587815e-05
luh,luh_P046_3_S14_C06,2024,baseline,0.00010987314474245169,7.683336337809568e-05
luh,luh_P047_1_S13_C04,2024,baseline,0.000709946183220731,0.00021333332040207744
luh,luh_P047_2_S14_C04,2024,baseline,0.0005589365925166167,0.0003135869556415414
luh,luh_P047_3_S15_C01,2024,baseline,0.00014914087106164377,0.0002553930677098282
luh,luh_P051_1_S10_C08,2024,baseline,0.00011670595349961177,0.00022697716730279483
luh,luh_P051_2_S11_C05,2024,baseline,8.288254984678778e-05,0.00020020627478279193
luh,luh_P051_3_S12_C05,2024,baseline,5.539829113302419e-05,0.0001710091323228125
luh,luh_P053_1_S15_C08,2024,baseline,0.0002495024610029617,0.00017405684317679755
luh,luh_P053_2_S16_C08,2024,baseline,0.0003058652843901277,0.00022450850951080366
luh,luh_P053_3_S19_C07,2024,baseline,0.0003564940654700677,0.00023518039391183504
luh,luh_P054_1_S16_C06,2024,baseline,0.00020316393337820537,0.00016409164915919672
luh,luh_P054_2_S17_C06,2024,baseline,0.0001843730995857995,0.00019987720580513584
luh,luh_P054_3_S19_C05,2024,baseline,0.0001721691985710283,0.00018735496741517313
luh,luh_P055_1_S15_C05,2024,baseline,0.00021193360259431638,0.0005232840373680383
luh,luh_P055_2_S16_C04,2024,baseline,0.00019490843281356085,0.0005361578654641518
luh,luh_P055_3_S17_C04,2024,baseline,0.00017009171565481873,0.0002457708084858584
luh,luh_P057_1_S17_C08,2024,baseline,0.000642877105730626,0.0004242297929514548
luh,luh_P057_2_S18_C08,2024,baseline,0.0005760411573887803,0.0005100063482087609
luh,luh_P057_3_S19_C08,2024,baseline,0.0003539598204317684,0.0005102163956082076
luh,luh_P058_1_S15_C07,2024,baseline,0.00026251453828384674,0.00023362822668062235
luh,luh_P058_2_S18_C06,2024,baseline,0.0005384679790641034,0.0003949120388449513
luh,luh_P058_3_S19_C06,2024,baseline,0.0004326787549885336,0.00043817331472186406
luh,luh_P059_1_S15_C06,2024,baseline,0.0007902587799615856,0.0009811310684400146
luh,luh_P059_2_S18_C04,2024,baseline,0.0011583782921119922,0.00045072988896927295
luh,luh_P059_3_S19_C04,2024,baseline,0.001562120822477635,0.0005330781574850272
luh,luh_P062_1_S16_C07,2024,baseline,5.5011759500998015e-05,9.007367515953633e-05
luh,luh_P062_2_S17_C07,2024,baseline,6.107639939421983e-05,8.62712405441507e-05
luh,luh_P062_3_S18_C07,2024,baseline,5.297100552846823e-05,8.0471223945911e-05
luh,luh_P063_1_S16_C05,2024,baseline,6.770277800896451e-05,0.00043785179830832895
luh,luh_P063_2_S17_C05,2024,baseline,6.655042981343895e-05,0.00029400433805149874
luh,luh_P063_3_S18_C05,2024,baseline,4.9917720613095186e-05,0.00042184824959663064
luh,luh_P017_1_S01_C08,2025,baseline,0.0002586779773129422,0.0003204911835808912
luh,luh_P017_2_S04_C07,2025,baseline,0.00026479271387219505,0.0004158021061921038
luh,luh_P017_3_S05_C05,2025,baseline,0.0002906688216343789,0.00033614546675550045
luh,luh_P018_1_S01_C06,2025,baseline,0.0005450097992452485,0.0010963079524574457
luh,luh_P018_2_S02_C06,2025,baseline,0.000548742116075489,0.0011196629456940949
luh,luh_P018_3_S04_C05,2025,baseline,0.000659051894691749,0.0011176766786886495
luh,luh_P021_1_S02_C08,2025,baseline,0.0002471724508572515,0.00021040642784526367
luh,luh_P021_2_S03_C08,2025,baseline,0.00024975874519647337,0.0002193898980879714
luh,luh_P021_3_S04_C08,2025,baseline,0.0002897379803147726,0.00024766927222339774
luh,luh_P022_1_S03_C06,2025,baseline,0.001380376545653763,0.0009425745452558631
luh,luh_P022_2_S04_C06,2025,baseline,0.0013164350816099767,0.0011481743709811773
luh,luh_P022_3_S05_C04,2025,baseline,0.00204900116494102,0.0008911633337041511
luh,luh_P025_1_S01_C09,2025,baseline,0.0001517817031814128,0.00014393329286830465
luh,luh_P025_2_S02_C09,2025,baseline,0.00016800537214147314,0.00016880713383327377
luh,luh_P025_3_S03_C09,2025,baseline,0.00016290583062627205,0.00017641228706619496
luh,luh_P026_1_S01_C07,2025,baseline,0.0005901104793840606,0.0008654488642419064
luh,luh_P026_2_S02_C07,2025,baseline,0.0013916166498763993,0.0007823266208272718
luh,luh_P026_3_S03_C07,2025,baseline,0.0005766737326075866,0.000882780692335005
luh,luh_P027_2_S02_C05,2025,baseline,0.0024945343784749194,0.0015391961298265285
luh,luh_P027_3_S03_C05,2025,baseline,0.0015591349368758545,0.0022032230843085756
luh,luh_P029_1_S06_C08,2025,baseline,0.00022590911518776568,0.00031495946184140726
luh,luh_P029_2_S08_C07,2025,baseline,0.00023421292812803474,0.000325821000336832
luh,luh_P029_3_S09_C07,2025,baseline,0.000228355979736401,0.0003816139356803491
luh,luh_P030_1_S06_C06,2025,baseline,0.0003439513862679111,0.0005612454692219463
luh,luh_P030_2_S08_C05,2025,baseline,0.00036281676736498624,0.0005519831718369639
luh,luh_P030_3_S09_C05,2025,baseline,0.0003682816199904559,0.0006004698158736248
luh,luh_P033_1_S07_C08,2025,baseline,0.0001886771549894717,0.0001363684550151364
luh,luh_P033_2_S08_C08,2025,baseline,0.00020336091065669136,0.0001510227789242437
luh,luh_P033_3_S09_C08,2025,baseline,0.00018780160464740403,0.00013890631902069636
luh,luh_P034_1_S07_C06,2025,baseline,0.00023077754074907864,0.00021714382986482068
luh,luh_P034_2_S08_C06,2025,baseline,0.00023615850414929307,0.00018201714792996112
luh,luh_P034_3_S09_C06,2025,baseline,0.000245469535616496,0.00020456671048668537
luh,luh_P035_2_S09_C04,2025,baseline,0.0010852808241455002,0.00216170401953092
luh,luh_P035_3_S10_C02,2025,baseline,0.002556591149051557,0.0015146541396038713
luh,luh_P037_1_S05_C11,2025,baseline,0.00011124626209267463,0.00011684553625080881
luh,luh_P037_3_S10_C04,2025,baseline,0.0001376944909553468,7.443137740326285e-05
luh,luh_P038_1_S06_C07,2025,baseline,0.00017889673587808463,0.0001506988672069271
luh,luh_P038_2_S07_C07,2025,baseline,0.0001599661106021366,0.00013777915051382762
luh,luh_P038_3_S10_C03,2025,baseline,0.00017504211898023315,0.00015212955279791175
luh,luh_P039_1_S05_C10,2025,baseline,0.0014172114104195012,0.001132516664054958
luh,luh_P039_2_S06_C05,2025,baseline,0.0011253475854425244,0.001712992364674116
luh,luh_P039_3_S07_C05,2025,baseline,0.0018272500742690222,0.0009962672458749926
luh,luh_P041_1_S11_C08,2025,baseline,0.00017010398678440008,8.623541079823553e-05
luh,luh_P041_2_S13_C07,2025,baseline,0.0002548012207109562,0.00040445146014379005
luh,luh_P041_3_S14_C07,2025,baseline,0.00016340568053798242,0.00012919473039717835
luh,luh_P042_1_S11_C06,2025,baseline,0.0002922500288510554,0.0003759886574589424
luh,luh_P042_2_S13_C05,2025,baseline,0.0003179709115183882,0.0004371999206192269
luh,luh_P042_3_S14_C05,2025,baseline,0.00018012214498534408,0.0002630270652875955
luh,luh_P043_1_S11_C04,2025,baseline,0.00031377106360346073,0.00043222938655623874
luh,luh_P043_2_S12_C04,2025,baseline,0.0003210285783106692,0.0006998536747275402
luh,luh_P043_3_S14_C03,2025,baseline,0.00026441291414968314,0.000631715704486849
luh,luh_P046_1_S12_C06,2025,baseline,8.821116868898304e-05,6.246214863630606e-05
luh,luh_P046_2_S13_C06,2025,baseline,7.496532226426433e-05,2.1556157888266258e-05
luh,luh_P046_3_S14_C06,2025,baseline,0.00010987314474245169,8.59948167435325e-05
luh,luh_P047_1_S13_C04,2025,baseline,0.000709946183220731,0.00018726081302634646
luh,luh_P047_2_S14_C04,2025,baseline,0.0005589365925166167,0.0003302313189015177
luh,luh_P047_3_S15_C01,2025,baseline,0.00014914087106164377,0.0001669206858664837
luh,luh_P051_1_S10_C08,2025,baseline,0.00011670595349961177,0.0002460251787280999
luh,luh_P051_2_S11_C05,2025,baseline,8.288254984678778e-05,0.00021445806634017104
luh,luh_P051_3_S12_C05,2025,baseline,5.539829113302419e-05,0.00017494768941833763
luh,luh_P053_1_S15_C08,2025,baseline,0.0002495024610029617,0.00021767648508482168
luh,luh_P053_2_S16_C08,2025,baseline,0.0003058652843901277,0.00026726666373635304
luh,luh_P053_3_S19_C07,2025,baseline,0.0003564940654700677,0.0002534037324497504
luh,luh_P054_1_S16_C06,2025,baseline,0.00020316393337820537,0.00016744473518260104
luh,luh_P054_2_S17_C06,2025,baseline,0.0001843730995857995,0.00019619607146662623
