experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,y_mean_log,y_std_log,log_lower,log_upper,best_filters,best_learning_rate,best_epoch,epochs_run,best_val_loss,final_train_loss
matr_to_luh,naive_cross,matr,luh,pytorch_mamba_library,100,42,89,20,106,373.9319925776998,78.78022135853054,-0.5191140815995079,6.567969799041748,0.44667568802833557,5.509388446807861,7.633369445800781,16,0.003,150,210,0.20149222016334534,0.1757013499736786
matr_to_luh,naive_cross,matr,luh,pytorch_mamba_library,100,456,89,20,106,349.56900144822436,100.46663240696066,-0.4043366658978582,6.5606160163879395,0.4517723619937897,5.509388446807861,7.633369445800781,32,0.003,57,117,0.2332819253206253,0.24161919951438904
matr_to_luh,naive_cross,matr,luh,pytorch_mamba_library,100,789,89,20,106,386.8455653011882,75.49525546221977,-0.4469263067953617,6.570230007171631,0.447017639875412,5.521461009979248,7.633369445800781,64,0.003,22,82,0.8693622946739197,0.8067505359649658
matr_to_sandia,naive_cross,matr,sandia,pytorch_mamba_library,100,1011,89,20,50,653.047153499049,83.79789702860627,-0.0013956335880707105,6.573174953460693,0.43848228454589844,5.509388446807861,7.633369445800781,64,0.001,54,114,0.2343093603849411,0.46581971645355225
matr_to_sandia,naive_cross,matr,sandia,pytorch_mamba_library,100,123,89,20,50,552.7026450636598,63.64825177645728,-0.03316565842262875,6.538547992706299,0.4620334804058075,4.8903489112854,7.633369445800781,64,0.001,116,176,0.5546324849128723,0.3734765648841858
matr_to_sandia,naive_cross,matr,sandia,pytorch_mamba_library,100,42,89,20,50,598.8790398679362,69.62942013563264,-0.004602925694093374,6.567969799041748,0.44667568802833557,5.509388446807861,7.633369445800781,32,0.003,93,153,0.21850323677062988,0.2578687369823456
matr_to_sandia,naive_cross,matr,sandia,pytorch_mamba_library,100,456,89,20,50,628.1283325166638,159.95417610329318,0.006905059330534757,6.5606160163879395,0.4517723619937897,5.509388446807861,7.633369445800781,64,0.003,58,118,0.24394164979457855,0.16026078164577484
matr_to_sandia,naive_cross,matr,sandia,pytorch_mamba_library,100,789,89,20,50,952.0954862937382,116.72222860590577,-0.2615667974527984,6.570230007171631,0.447017639875412,5.521461009979248,7.633369445800781,64,0.003,77,137,0.6211541891098022,
sandia_to_hust,naive_cross,sandia,hust,pytorch_mamba_library,100,1011,34,8,77,1645.4078763894486,71.45579589442478,-37.41670334629515,5.89173698425293,1.1798990964889526,3.891820192337036,8.143808364868164,32,0.01,7,67,0.027399610728025436,0.11146724969148636
sandia_to_hust,naive_cross,sandia,hust,pytorch_mamba_library,100,123,34,8,77,475.3622927257773,28.903037602214702,-2.8036150093607235,5.980201721191406,1.1425416469573975,4.499809741973877,8.123854637145996,64,0.003,100,160,0.06759551912546158,
sandia_to_hust,naive_cross,sandia,hust,pytorch_mamba_library,100,42,34,8,77,1337.5130055184093,62.8508001156946,-24.214929831301667,5.886687278747559,1.1171966791152954,3.891820192337036,8.143808364868164,16,0.01,15,75,0.08595412969589233,0.08344122767448425
