experiment,source,target,model,n_cycles,adapter_type,k,baseline_MAE,baseline_MAE_std,baseline_SMAPE,baseline_R2,baseline_R2_std,adapted_MAE,adapted_MAE_std,adapted_SMAPE,adapted_R2,adapted_R2_std,adapter_slope_mean,adapter_intercept_mean,delta_MAE,delta_R2
matr_to_hust,matr,hust,catboost,100,linear,5,879.2978629558423,42.30647012887234,82.04327789633547,-10.434072655148565,0.9624884888552522,341.4972550153037,86.23343169256987,21.947692169395932,-5.94214963444151,9.562500018083243,-0.7354417338204193,1976.7630739001427,-537.8006079405386,4.4919230207070555
matr_to_hust,matr,hust,catboost,100,linear,10,879.2978629558423,42.30647012887234,82.04327789633547,-10.434072655148565,0.9624884888552522,247.19261824018994,4.510792831611877,16.808913176123646,-0.22951040033954567,0.05583412661460798,-0.3308924344885528,1693.1233528047142,-632.1052447156524,10.20456225480902
matr_to_hust,matr,hust,catboost,100,linear,15,879.2978629558423,42.30647012887234,82.04327789633547,-10.434072655148565,0.9624884888552522,240.5112529703471,2.6378274884095094,16.389586704273963,-0.1491969632381848,0.027787182532522613,-0.251343345567779,1639.194163508401,-638.7866099854953,10.284875691910381
matr_to_hust,matr,hust,catboost,100,linear,20,879.2978629558423,42.30647012887234,82.04327789633547,-10.434072655148565,0.9624884888552522,238.86954390881564,1.993123283394542,16.27206579375909,-0.13015431287118123,0.02319154612091499,-0.4570058808328462,1760.9674874430737,-640.4283190470267,10.303918342277385
matr_to_hust,matr,hust,gaussian_process,100,residual_mean,5,763.0081350735302,23.113667198613527,67.09447480072613,-7.936750468760522,0.32988458374361057,270.38346438889727,20.73789272738762,18.419740275045125,-0.4417078746404416,0.19358842526779857,1.0,747.7479834554861,-492.6246706846329,7.49504259412008
matr_to_hust,matr,hust,gaussian_process,100,residual_mean,10,763.0081350735302,23.113667198613527,67.09447480072613,-7.936750468760522,0.32988458374361057,257.9270995462094,22.73459603510889,17.526481475694887,-0.3190457709420334,0.24416031265546187,1.0,775.2468156331178,-505.0810355273208,7.617704697818488
matr_to_hust,matr,hust,gaussian_process,100,residual_mean,15,763.0081350735302,23.113667198613527,67.09447480072613,-7.936750468760522,0.32988458374361057,257.5742286133153,24.593699810621043,17.53703871239548,-0.2917095952635302,0.2196204864017672,1.0,761.4792657354121,-505.43390646021487,7.645040873496992
matr_to_hust,matr,hust,gaussian_process,100,residual_mean,20,763.0081350735302,23.113667198613527,67.09447480072613,-7.936750468760522,0.32988458374361057,253.26648769945422,23.41222693767228,17.257739841781937,-0.2657936757051128,0.23934576686813117,1.0,762.8927704634964,-509.74164737407597,7.670956793055409
matr_to_hust,matr,hust,gaussian_process,100,linear,5,763.0081350735302,23.113667198613527,67.09447480072613,-7.936750468760522,0.32988458374361057,316.0661994571691,40.48935652621665,21.815779280497203,-1.7167969571795054,1.2828287088919783,1.8814954354674416,161.3911301027657,-446.9419356163611,6.219953511581016
matr_to_hust,matr,hust,gaussian_process,100,linear,10,763.0081350735302,23.113667198613527,67.09447480072613,-7.936750468760522,0.32988458374361057,249.31588591973667,4.12272937459073,17.096114410922517,-0.26084140396716027,0.07027817570459886,-0.08413876478770077,1584.4379266219403,-513.6922491537935,7.675909064793362
matr_to_hust,matr,hust,gaussian_process,100,linear,15,763.0081350735302,23.113667198613527,67.09447480072613,-7.936750468760522,0.32988458374361057,243.979681513988,6.490145879846498,16.650070855754972,-0.18883843789216506,0.06250096747616288,-0.2281514093718537,1657.4550397048793,-519.0284535595422,7.747912030868357
matr_to_hust,matr,hust,gaussian_process,100,linear,20,763.0081350735302,23.113667198613527,67.09447480072613,-7.936750468760522,0.32988458374361057,236.91817080707497,3.5068941665971063,16.19034054784608,-0.10752448345859486,0.025336840725089422,-0.5821940413954889,1920.143702658664,-526.0899642664552,7.829225985301927
matr_to_hust,matr,hust,stacking,100,residual_mean,5,876.0130621612464,62.175396017080764,81.76882837350101,-10.367535563734021,1.3782545394611714,264.2222757453165,11.684081528193904,18.01680787101022,-0.3766434398516891,0.1180500751177003,1.0,858.8589470550993,-611.7907864159299,9.990892123882332
matr_to_hust,matr,hust,stacking,100,residual_mean,10,876.0130621612464,62.175396017080764,81.76882837350101,-10.367535563734021,1.3782545394611714,248.50581167347445,12.671143548368,16.953574954006132,-0.22361804568475252,0.12815470960712416,1.0,885.7766113222164,-627.5072504877719,10.14391751804927
matr_to_hust,matr,hust,stacking,100,residual_mean,15,876.0130621612464,62.175396017080764,81.76882837350101,-10.367535563734021,1.3782545394611714,248.0774110550674,15.119720927201145,16.902945458971857,-0.20920270738328886,0.14764404979064893,1.0,878.0571370109619,-627.935651106179,10.158332856350732
matr_to_hust,matr,hust,stacking,100,residual_mean,20,876.0130621612464,62.175396017080764,81.76882837350101,-10.367535563734021,1.3782545394611714,244.19621879433936,15.619272782723403,16.665031797535214,-0.1834521852751903,0.1413691146990127,1.0,877.4447656041027,-631.816843366907,10.184083378458832
matr_to_hust,matr,hust,stacking,100,linear,5,876.0130621612464,62.175396017080764,81.76882837350101,-10.367535563734021,1.3782545394611714,292.5934584433232,20.513151096096035,20.6688336199105,-0.9540516460730105,0.40361269120852067,-0.09787264711086481,1516.0501719422614,-583.4196037179231,9.413483917661011
matr_to_hust,matr,hust,stacking,100,linear,10,876.0130621612464,62.175396017080764,81.76882837350101,-10.367535563734021,1.3782545394611714,247.4559981785381,4.13174205604111,16.858825910914675,-0.2298749724627466,0.03531273065179767,-0.13824379243178714,1579.9148062035451,-628.5570639827083,10.137660591271274
matr_to_hust,matr,hust,stacking,100,linear,15,876.0130621612464,62.175396017080764,81.76882837350101,-10.367535563734021,1.3782545394611714,244.65154881382122,6.336002949172027,16.671577736453877,-0.19284756642115342,0.045338764171880194,-0.3358347668327008,1684.7329723498103,-631.3615133474251,10.174687997312867
matr_to_hust,matr,hust,stacking,100,linear,20,876.0130621612464,62.175396017080764,81.76882837350101,-10.367535563734021,1.3782545394611714,238.5494820193569,2.577409813595685,16.25912351273089,-0.1230231963389549,0.028083561804909854,-0.2410753248045478,1646.9655115013345,-637.4635801418895,10.244512367395066
