source,target,direction,model,feature_group,contribution_mean,contribution_median,contribution_sd,sign_consistency,mean_abs_shap_log
matr,luh,matr_to_luh,catboost,trend_decay_timing,0.06431881354958704,0.05784450593018134,0.03373844988925189,1.0,0.19864934748439386
matr,luh,matr_to_luh,catboost,variability_events,-0.07468964932536863,-0.0023268931412060213,0.1400295303211427,0.8,0.1398878426300333
matr,luh,matr_to_luh,random_forest,capacity_level_retention,0.013484609481930209,0.0024918076560050293,0.02448816967303366,0.6,0.06795930559662329
matr,luh,matr_to_luh,random_forest,curvature_acceleration,0.46622557152880717,0.47343624681775126,0.09366537038830816,1.0,0.2891455005440447
matr,luh,matr_to_luh,random_forest,spectral_entropy,-0.008938464282211057,-0.006864363366951899,0.009643528438929832,0.8,0.01650501511714749
matr,luh,matr_to_luh,random_forest,trend_decay_timing,0.07540470193776835,0.08120230256581232,0.04672908741854083,1.0,0.20637582491910833
matr,luh,matr_to_luh,random_forest,variability_events,-0.08176625326542812,-0.08999501970680746,0.029120781512548637,1.0,0.10490611126739673
matr,sandia,matr_to_sandia,catboost,capacity_level_retention,0.05971143816411312,0.035106226761627245,0.04903929291287485,1.0,0.103422281364939
matr,sandia,matr_to_sandia,catboost,curvature_acceleration,0.11893553289815957,0.11705139546591399,0.06913158164943621,1.0,0.2657207815225678
matr,sandia,matr_to_sandia,catboost,spectral_entropy,0.030533507063601452,0.04237283554494563,0.04754193226920357,0.8,0.02367585814452847
matr,sandia,matr_to_sandia,catboost,trend_decay_timing,0.20761224555803773,0.1745909153984668,0.1825357649936282,1.0,0.20619361333142008
matr,sandia,matr_to_sandia,catboost,variability_events,0.04488796213731676,0.05295236131103151,0.061885642539869265,0.8,0.15208366966060355
matr,sandia,matr_to_sandia,random_forest,capacity_level_retention,0.022392668740431547,-0.004329378923132888,0.050698004634577874,0.6,0.06379684479325762
matr,sandia,matr_to_sandia,random_forest,curvature_acceleration,0.1725722201496036,0.1604978896700333,0.056424470772594895,1.0,0.31192920475475466
matr,sandia,matr_to_sandia,random_forest,spectral_entropy,-0.012574097425044492,-0.008489878073285256,0.021258764594641422,0.8,0.016300386001823118
matr,sandia,matr_to_sandia,random_forest,trend_decay_timing,0.06978672262228122,0.021658048158478854,0.13492363122754106,0.6,0.21071041622250264
matr,sandia,matr_to_sandia,random_forest,variability_events,0.0054470876917296265,-0.02254182698750583,0.07095077962291035,0.8,0.10589458792951803
sandia,hust,sandia_to_hust,catboost,capacity_level_retention,0.016963141679924083,0.018149493525253385,0.013765711149468987,0.8,0.3097672431687368
sandia,hust,sandia_to_hust,catboost,curvature_acceleration,-0.042305420495133826,-0.05029334087588233,0.02779605746033634,0.8,0.34410246086633395
sandia,hust,sandia_to_hust,catboost,spectral_entropy,0.0210361906955773,0.037228738317444915,0.05974455455436839,0.8,0.26565210487105867
sandia,hust,sandia_to_hust,catboost,trend_decay_timing,0.013623188457078808,0.015396864058881053,0.03027197610359914,0.8,0.5617772148265153
sandia,hust,sandia_to_hust,catboost,variability_events,0.17339773528329575,0.146612181810729,0.06564226589104127,1.0,0.6083310994341166
sandia,hust,sandia_to_hust,random_forest,capacity_level_retention,-0.033002112958800484,-0.03118781684310192,0.009772417333716286,1.0,0.46488423729448336
sandia,hust,sandia_to_hust,random_forest,curvature_acceleration,0.07958178444679714,0.05812296387730345,0.06433290853435117,0.8,0.18322847387883448
sandia,hust,sandia_to_hust,random_forest,spectral_entropy,0.13974744103121833,0.14468403090021212,0.05872389198719254,1.0,0.07489293322679602
sandia,hust,sandia_to_hust,random_forest,trend_decay_timing,-0.08475173242196525,-0.1390872165307448,0.1259907412723126,0.8,0.6851927233053375
sandia,hust,sandia_to_hust,random_forest,variability_events,-0.0679732708432218,-0.05676761876057444,0.03854654525288097,1.0,0.6673621128074074
