experiment,feature,n_cycles,source,target,seed,repeat,k_target,residual_shift,MAE,SMAPE,R2
within_univariate,cycle_to_95pct,100,matr,matr,123,,0,,303.0801769047002,37.88782804305855,-0.0860760086066199
within_univariate,slope_first_quarter,100,matr,matr,123,,0,,320.6999787385704,40.16518466841168,-0.2678429030716436
within_univariate,slope_last_quarter,100,matr,matr,123,,0,,294.4471040228053,36.809721943795424,-0.010764780299994392
within_univariate,autocorr_lag1,100,matr,matr,123,,0,,305.92167649093363,38.25328476911317,-0.1275423491403178
within_univariate,knee_cycle,100,matr,matr,123,,0,,287.01966721031846,35.94198706255119,-0.09920650110683238
within_univariate,n_capacity_jumps,100,matr,matr,123,,0,,306.8033328197302,38.35313869765899,-0.1404054039922078
within_univariate,accel_mean,100,matr,matr,123,,0,,252.49772033726708,30.326492353160884,0.049137282837199536
within_univariate,accel_std,100,matr,matr,123,,0,,304.32588551926403,38.05509377568065,-0.10598330916197796
within_univariate,accel_max_abs,100,matr,matr,123,,0,,304.3252221333369,38.05501652480493,-0.10597420312839612
within_univariate,linearity_r2,100,matr,matr,123,,0,,280.3330290798845,35.1622871185393,0.12199066375491607
within_univariate,kurtosis_Qdis,100,matr,matr,123,,0,,304.2502797669078,38.04607260159691,-0.10501660214007069
within_univariate,fft_top3_energy_ratio,100,matr,matr,123,,0,,293.65452116502786,36.7943176227394,0.004030028783789552
within_univariate,spectral_entropy,100,matr,matr,123,,0,,304.2124333088089,38.04130632412856,-0.10476990970386435
within_univariate,sample_entropy,100,matr,matr,123,,0,,304.245189843964,38.04409096077009,-0.10559417963149276
within_univariate,pos_neg_diff_ratio,100,matr,matr,123,,0,,304.3992665192104,38.06551845607864,-0.10604949998574154
within_univariate,mad_Qdis,100,matr,matr,123,,0,,299.1840731313685,37.40122168980734,-0.03828133524596988
within_univariate,Qdis_N,100,matr,matr,456,,0,,259.59535678254804,35.43572730072032,0.08620892273211211
within_univariate,delta_Qdis,100,matr,matr,456,,0,,262.96894144862415,34.71641265115211,0.06862753670786093
within_univariate,retention_ratio,100,matr,matr,456,,0,,262.9673068091256,34.70370590837323,0.06860897169107716
within_univariate,slope_linear,100,matr,matr,456,,0,,265.60264496549087,33.99930430839252,0.08038128382444099
within_univariate,variance_Qdis,100,matr,matr,456,,0,,288.17505231959734,37.80503629274754,-0.04882101860670862
within_univariate,range_Qdis,100,matr,matr,456,,0,,284.930338606424,37.38121602625743,-0.044359960620499406
within_univariate,max_drop,100,matr,matr,456,,0,,285.1104035587497,37.40884988969469,-0.04418443925349558
within_univariate,std_diff,100,matr,matr,456,,0,,285.0985627739322,37.40713566061139,-0.04418978509374827
within_univariate,skewness_Qdis,100,matr,matr,456,,0,,284.0428782200405,37.26013416290338,-0.043321989937579186
within_univariate,slope_ratio,100,matr,matr,456,,0,,284.83893359123954,37.50648562080215,-0.036990188892916054
within_univariate,Qdis_cycle10,100,matr,matr,456,,0,,284.0028374395094,37.256027076800876,-0.043214000612276315
within_univariate,mean_diff,100,matr,matr,456,,0,,262.96894144862654,34.71641265115378,0.0686275367078415
within_univariate,poly2_a,100,matr,matr,456,,0,,283.92785062087063,37.242866789513,-0.04347160845759701
within_univariate,poly2_b,100,matr,matr,456,,0,,283.6041252962148,37.189038465433775,-0.04394467343973463
within_univariate,poly2_c,100,matr,matr,456,,0,,275.36434956142034,41.30056836751626,0.0028611098570421323
within_univariate,exp_decay_k,100,matr,matr,456,,0,,265.5114787430954,34.27592391295921,0.08169170605648712
within_univariate,cycle_to_99pct,100,matr,matr,456,,0,,259.60918727825583,33.18942723243109,0.0946841874022204
within_univariate,cycle_to_98pct,100,matr,matr,456,,0,,256.0973703205633,31.27900259614712,0.07772323619542865
within_univariate,cycle_to_95pct,100,matr,matr,456,,0,,284.0000000000001,37.25432259541782,-0.04328452952510631
within_univariate,slope_first_quarter,100,matr,matr,456,,0,,284.0644364134208,37.25496850535587,-0.04415349803702506
within_univariate,slope_last_quarter,100,matr,matr,456,,0,,246.41718082969805,34.59012728127694,0.16598734562013606
within_univariate,autocorr_lag1,100,matr,matr,456,,0,,284.09059233449324,37.266369960712474,-0.04353126002820695
within_univariate,knee_cycle,100,matr,matr,456,,0,,273.089767647582,36.170052551811345,0.025996151899451148
