n_cycles,dataset,model,feature,mean_abs_shap_log_cycles_mean,mean_abs_shap_log_cycles_std,mean_shap_log_cycles_mean,relative_importance_mean,relative_importance_std,rank_mean,rank_std,n_seed_runs,MAE_mean,SMAPE_mean,R2_mean,top5_rate,top10_rate,abs_mean_shift_z_raw,abs_mean_shift_z_capnorm,spearman_matr,spearman_hust,spearman_abs_delta,spearman_sign_agree,within_R2_mean,adapted_cross_R2_mean,transfer_stability_score,stability_class
100,hust,random_forest,autocorr_lag1,0.0036195071508952834,0.002935449804191599,0.0008098266258104262,0.017634948831704515,0.013941958726715812,14.8,6.906518659932803,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.4,0.6862570928621154,0.6862570928621154,0.072200046963893,0.1545175516461132,0.0823175046822202,True,-0.0434690848753554,-0.0970593220948279,0.3559026837295725,weak_or_mixed
100,hust,random_forest,accel_mean,0.003574531938129174,0.0028645245291906386,-0.0007159842136270046,0.018547219664416657,0.015627711310138594,15.6,7.503332592921629,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.2,1.22959935337799,1.3537956090616747,0.4929057793888074,-0.156318394230164,0.6492241736189714,False,0.0988571066339727,-1.0998337584639095,-0.4101948831822114,relationship_unstable
100,hust,random_forest,slope_last_quarter,0.0032057660838876656,0.003131892391964096,-0.0008182044620328527,0.016042374350772236,0.016666379047705737,16.0,7.0,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.2,0.2,0.3726140368721802,0.2665852201753617,0.4762603562502095,-0.0739659943098833,0.550226350560093,False,0.0867154482010735,-0.1919223606618001,-0.2442898326097999,relationship_unstable
100,hust,random_forest,fft_top3_energy_ratio,0.0028276214156273,0.0016502115347219492,-0.0003534890135524013,0.013651518367495591,0.007068983768744514,14.8,3.5637059362410923,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.0,0.4962145609607443,0.4962145609607443,-0.1880275942379851,0.0380674461562861,0.2260950403942713,False,-0.0536782881504775,-0.1498187856333623,-0.1874797043412473,relationship_unstable
100,hust,random_forest,poly2_c,0.0026110563821270956,0.001368321552342682,-0.00026194540182511943,0.012814714040675268,0.006085345485796788,15.0,3.391164991562634,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.0,0.2588483523428992,0.1960783226436235,0.6573642371188736,0.0299833717826273,0.6273808653362463,True,-0.0424198136199253,-0.275881286459736,0.1474823144804419,weak_or_mixed
100,hust,random_forest,knee_cycle,0.002462810486301569,0.0013684328544727108,0.00016466909041686,0.012637461153467505,0.007734303096735994,17.6,6.107372593840988,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.2,0.834763550107729,0.834763550107729,-0.2749122631570961,-0.0850996023275905,0.1898126608295056,True,0.0120457900462751,-0.0783063675343923,0.291924927115363,weak_or_mixed
100,hust,random_forest,accel_std,0.0023262816524064036,0.0013279563198647694,-0.00025297274204839334,0.011865852137289119,0.007396209556399941,18.4,4.827007354458868,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.0,0.1253979196265854,0.1282644140486808,-0.178999094366,0.2858607567544045,0.4648598511204045,False,-0.0362943980266248,-57347387984.23186,-0.25123961350419,relationship_unstable
100,hust,random_forest,accel_max_abs,0.0018895996445369833,0.0007787974045187381,-3.1393574808468316e-05,0.009200181838669835,0.0032187627325731415,18.8,2.16794833886788,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.0,0.1342210519216805,0.1354344576327857,-0.118220239500228,0.1607613489265814,0.2789815884268095,False,-0.0873707351401829,-29648306856.704777,-0.1596239520016568,relationship_unstable
100,hust,random_forest,mad_Qdis,0.0014966509977181876,0.0008547427718709673,-0.0004488947257660969,0.00742285995803796,0.0044939833714623175,20.8,2.2803508501982757,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.0,0.7122615467251117,0.5832173802778646,-0.3946102855351098,-0.0776071139871248,0.3170031715479849,True,0.0499338798784528,-0.0249228320522273,0.2845930620956936,weak_or_mixed
100,hust,random_forest,poly2_b,0.001205439465774007,0.001408385086367791,-0.0003249300559277662,0.0056758963713799595,0.006194360539386515,24.8,6.610597552415364,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.0,0.1306639983656922,0.0987570124918787,-0.2221542056736092,0.0275252873795798,0.249679493053189,False,-0.0617002531829204,-0.0797138246107914,-0.1444393462814483,relationship_unstable
