dataset,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,n_seeds,MAE_seed_boot_mean_ci95_lower,MAE_seed_boot_mean_ci95_upper,SMAPE_seed_boot_mean_ci95_lower,SMAPE_seed_boot_mean_ci95_upper,R2_seed_boot_mean_ci95_lower,R2_seed_boot_mean_ci95_upper,MAE_pooled,MAE_ci95_lower,MAE_ci95_upper,SMAPE_pooled,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_pooled,R2_ci95_lower,R2_ci95_upper,ci95_method,pooled_test_rows,pooled_distinct_test_cells
luh,luh_to_luh,elastic_net,50,152.96270544019617,25.325958721735034,23.864301292169564,1.714614670200761,0.62836144075097,0.06898167574814491,5,80.49327843645663,232.19775480177117,15.523844648459033,32.84122535333814,0.04433860749690729,0.8691887991513216,152.96270544019617,117.4462151691219,190.60951036092766,23.864301292169564,19.980626146977503,27.755827646837734,0.6215244991466442,0.4130225221099475,0.7556039603077975,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,pls,50,163.10824936493657,22.35192363033808,24.665308306185565,2.4201058611455357,0.5448827765023662,0.07547973164514162,5,81.53777267804978,257.306266557894,15.863418354042897,34.202121559128045,-0.22326051045400003,0.8534394425517078,163.10824936493654,121.87848845343538,206.20771944097072,24.66530830618557,20.401076882025823,28.924493457092662,0.5371262610092639,0.26387023251678837,0.7150092468449967,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,random_forest,50,144.028676836852,29.018785322272777,24.125571702086695,4.819349774267389,0.6451784900903974,0.11076372104184123,5,72.40027115003325,223.59997294880577,15.052651915620777,34.28474997652815,0.09190268704106219,0.8900063112794205,144.028676836852,107.75562550649501,180.72787046405568,24.125571702086688,19.64034188320901,29.013364849076495,0.6409814797920771,0.4540385940253586,0.7742722416960156,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,xgboost,50,154.5353204453702,31.696789642184036,24.082959898203104,3.2877771132454194,0.5612639450511686,0.18163486393549197,5,74.37743361785991,249.70563471045563,14.80989551760508,34.35652639096613,-0.11935984425911743,0.8803922940856553,154.53532044537013,114.2740362299487,196.87812896020745,24.0829598982031,19.799767249422086,28.921745191672187,0.5596233167906413,0.3189116470125997,0.7450935053586604,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,catboost,50,128.78068316578532,21.227224386369006,20.57024426913447,3.029412442489583,0.6866643540809191,0.0855837169511618,5,62.25940965157647,209.97905782205845,12.7620666039024,29.25929695050823,0.12831058965994913,0.90731079528984,128.78068316578532,93.74425851612953,164.40781479829903,20.570244269134466,16.54856305381157,24.07704881622751,0.6852779137597697,0.48673469278890175,0.8338662195158046,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,gaussian_process,50,151.43868454899993,21.82575663366635,23.155399118661627,1.6416851305515174,0.6337090360537624,0.05478252616906601,5,78.02151639785025,231.5516129999158,14.800718080016988,32.250449070293016,0.08257049933780305,0.8657292896130124,151.43868454899993,114.93883343493405,188.87686501052025,23.15539911866163,19.083498705208715,27.2772003510875,0.6276842450689268,0.4317874030207038,0.7528872145831195,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,stacking,50,126.71328244927975,24.26149404749063,20.744370505850963,3.2579619408990736,0.7068069205008525,0.07448589317449178,5,62.45402544260376,204.4638517092191,12.892885976271316,29.751961184235636,0.1475038243325372,0.9165145431483239,126.71328244927975,93.76940640377144,163.6468933674349,20.744370505850963,16.683774484475357,24.54551416310388,0.6998944054247027,0.5061336736122525,0.8379423279719315,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,elastic_net,100,125.19072602015436,24.060062217884408,19.88723856188627,2.3848479904821263,0.744885237315207,0.06832119572639966,5,65.9539756912834,191.76151126937614,12.301605773405623,28.187984869410684,0.4497873514769074,0.8901236434854065,125.19072602015436,97.51503831414193,157.38823802256488,19.88723856188627,16.621270207374923,23.771446891754096,0.7460057537055633,0.6436653417805445,0.820309759512151,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,pls,100,134.41620130408708,30.188525645458476,20.592808217012177,2.5238446841051942,0.699822002480804,0.10934880304464675,5,70.36447151465534,207.95922826517955,13.077733811641432,29.018983868433082,0.3044167518587624,0.877618323032884,134.4162013040871,103.60104792459363,170.9330231633759,20.59280821701218,17.20823805291822,24.671819958131405,0.6992909023359148,0.5494974041520747,0.7988682516644889,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,random_forest,100,118.55944446083213,11.999553146197725,18.671626780514227,1.1951669633871231,0.7380693735577397,0.05892695879602701,5,56.18350411823976,191.7494065309516,10.605368637958087,27.478304689228214,0.33440013420645986,0.9259680824143601,118.55944446083215,89.97193682311047,150.4000833001786,18.671626780514224,15.036435537897793,22.569774317902173,0.7392630467458327,0.5855686135006011,0.8450779995749251,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,xgboost,100,127.2562976176471,18.06202539047568,19.197321717818305,2.700121127930652,0.6943394586931722,0.08712272490600141,5,61.42031542877662,206.63020515704125,11.025250668414236,28.697732336302334,0.1842718438939667,0.9161548406779962,127.2562976176471,96.51082219170013,161.21948793407373,19.197321717818305,15.558655922330969,23.267481646255703,0.6925888247478971,0.5157094935880219,0.8211519597326556,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,catboost,100,112.2654304737367,11.841661386257618,17.892232328841793,2.7290821758411794,0.7414426436913633,0.06712132326759562,5,51.34185376186129,188.2474815942989,10.206244720464856,26.621594933093427,0.31261483156858394,0.9309552225916853,112.2654304737367,83.8254873082677,146.70519312866477,17.89223232884179,14.253159382488358,21.669536017384967,0.7484936985475802,0.5884073410825982,0.860145492965825,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,gaussian_process,100,115.81287952523553,12.530579432613724,18.439703040466572,1.1746343327405069,0.7693348234198125,0.0324155309840747,5,57.42591526872392,182.029783553711,11.349670811721246,26.128311458231934,0.47965458567347846,0.9109605660569761,115.81287952523553,89.96179108138,145.2953053805579,18.43970304046657,15.221421396055794,21.702954148835897,0.7721478548622364,0.674815605631559,0.8432623519043173,pooled_out_of_split_predictions,80,53
luh,luh_to_luh,stacking,100,108.79382183230298,15.766895037546606,17.187931396841375,2.3876312478461332,0.7571251557979399,0.0577768252073925,5,49.487986285179616,182.45610051674868,9.914980270798232,25.64683099584779,0.3455745379904279,0.9390011331228136,108.793821832303,81.5621301925574,140.1453249518692,17.18793139684138,13.899062146274298,20.7698411209783,0.7596146736266329,0.608214944279541,0.8631911417776952,pooled_out_of_split_predictions,80,53
